The shooting took place in a residence hall at the university in East Lansing, Michigan, on the morning of March 2nd	0
The gunman, who has not yet been identified, is believed to be a student at the school	1
The three people who were killed were all students at the university	0
The five injured were taken to a local hospital for treatment	0
Police are still searching for the gunman and have asked anyone with information to contact them	0
The motive for the shooting is still unknown	1
The shooting has left the university community in shock and prompted security reviews at other college campuses across the country	0
The sooner you start investing, the more time your money has to grow	1
Even if you're only able to make small investments now, it's important to start investing as soon as possible	0
Additionally, it's important to consider the type of IRA you open	0
Traditional IRAs offer tax deductions for contributions and grow tax-free, but you'll pay taxes on withdrawals	1
On the other hand, Roth IRAs don't offer tax deductions but withdrawals are tax-free	1
Depending on your current tax rate and future plans, one or the other may be more beneficial	1
Finally, it's important to consider the investment options you choose when opening an IRA	0
Investing in index funds, ETFs, and stocks can provide you with better returns than more conservative investments such as CDs or savings accounts	1
Overall, if you're looking to invest in an IRA for 2022, it's important to start as soon as possible and to consider the type of IRA and investments that are best for you	1
Traditional Chinese cleavers are made of carbon steel, but you can find cleavers made of ceramic, stainless steel, and even Damascus steel	1
Depending on your budget and intended use, you can decide which material is right for you	1
Chinese cleavers have wide and flat blades, usually measuring at least six inches long	0
Consider your needs as you compare the blade length and weight	0
A heavier blade is best for cutting through bones, while a lighter blade is better for making thin slices	0
Ergonomic handles are key when it comes to Chinese cleavers	1
Look for one that fits comfortably in your hand and has a non-slip grip	1
Be sure to check the sharpness and condition of the blade before you buy	1
The edge should be sharp enough to make precise cuts and should be in good condition with no chips or dull spots	1
Chinese cleavers can range from a few dollars to several hundred dollars, depending on the material and craftsmanship	0
Be sure to compare prices and read reviews before making your purchase	0
Nespresso Vertuo Coffee and Espresso Machine: This machine uses Nespresso pods for coffee and espresso, and makes a delicious cup of coffee	0
BUNN MCU Single Cup Multi-Use Home Coffee Brewer: This machine has several features, including the ability to make a variety of different beverages from tea to coffee	0
Hamilton Beach FlexBrew Single Serve Coffee Maker: This machine is perfect for those who want to make one cup of coffee at a time	1
It also comes with a permanent filter, so there is no need to buy and replace disposable filters	0
Cuisinart SS-10 Premium Single Serve Coffeemaker: This machine uses K-Cups, and it is perfect for those who want a quick cup of coffee	1
Putin said Russia would only resume its obligations under the treaty — which limits the number of strategic nuclear warheads held by each country — if the U	1
agreed to not deploy intermediate-range missiles in Europe	1
The president said the U	0
The event was organized by Yoko Ono’s friends and fans as a tribute to her life and work	0
They were encouraged to dress in bright colors and bring bells, flowers, and other objects to use as props	1
The event featured performances from musicians, dancers, and poets, as well as art installations from local artists	0
At the end of the event, everyone joined in to sing Happy Birthday to Yoko Ono	1
The event was an homage to the types of art happenings Yoko Ono created in the 1960s	0
These happenings were a form of experimental performance art that involved audience participation	0
Yoko Ono was an early leader in this movement, and her influence on the art world is still seen today	0
The event was a touching tribute to Yoko Ono, and a reminder of her legacy in the art world	1
